Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
10KDA	SF3B5	gene	HOM:51880090	MGI
11(BETA)-HSD2	HSD11B2	gene	HOM:51882549	MGI
11, 14.7KDA	NDUFA11	gene	HOM:51884418	MGI
1100001A16RIK	S1PR2	gene	HOM:51873413	MGI
1100001A21RIK	ASTE1	gene	HOM:51870897	MGI
1100001C18RIK	SASH1	gene	HOM:51875257	MGI
1100001C23RIK	TTN	gene	HOM:51876280	MGI
1100001D10RIK	ANKRD13A	gene	HOM:51870739	MGI
1100001D15RIK	TRIM39	gene	HOM:51871648	MGI
1100001D19RIK	TCEAL3	gene	HOM:51890336	MGI
1100001E04RIK	ARHGAP36	gene	HOM:51870829	MGI
1100001F06RIK	UQCRQ	gene	HOM:51877792	MGI
1100001F07RIK	CCDC17	gene	HOM:51886027	MGI
1100001F19RIK	UBE2D3	gene	HOM:51874178	MGI
1100001G20RIK	WFDC21	gene	HOM:51890832	MGI
1100001H14RIK	ADAMTS3	gene	HOM:51885900	MGI
1100001H23RIK	PLBD1	gene	HOM:51876934	MGI
1100001I12RIK	1100001I12RIK	gene	MGI:1922655	MGI
